"customerid","days_since_purchase","recency_score","num_orders","frequency_score","customer_revenue","monetary_score"
"18226",44,4,"26",5,"11878.88",5
"12567",22,4,"15",5,"11767.48",5
"12705",15,5,"14",5,"11762.10",5
"14426",23,4,"17",5,"11727.94",5
"13004",11,5,"36",5,"11650.85",5
"12683",4,5,"21",5,"11633.70",5
"15023",3,5,"20",5,"11578.65",5
"14739",4,5,"25",5,"11573.62",5
"13418",11,5,"31",5,"11559.66",5
"15218",10,5,"22",5,"11468.83",5
"13680",1,5,"12",5,"11419.67",5
"14016",161,3,"11",5,"11403.41",5
"12668",11,5,"10",5,"11383.03",5
"13102",1,5,"37",5,"11380.10",5
"15874",63,3,"21",5,"11284.76",5
"15555",12,5,"36",5,"11243.91",5
"12539",22,4,"7",4,"11214.75",5
"13576",10,5,"28",5,"11202.59",5
"12524",9,5,"17",5,"11126.11",5
"14134",382,2,"15",5,"11123.35",5
"13013",1,5,"29",5,"11097.43",5
"15032",256,2,"8",4,"11010.05",5
"14045",109,3,"16",5,"10986.63",5
"12918",626,1,"1",1,"10953.50",5
"16985",17,5,"23",5,"10923.16",5
"18052",564,1,"1",1,"10877.18",5
"16033",5,5,"27",5,"10608.81",5
"13324",36,4,"18",5,"10513.47",5
"15290",4,5,"26",5,"10496.28",5
"12431",35,4,"27",5,"10432.22",5
"14028",550,1,"3",3,"10396.50",5
"16168",10,5,"66",5,"10360.67",5
"16984",88,3,"9",5,"10350.53",5
"15296",50,4,"12",5,"10323.03",5
"14422",0,5,"19",5,"10271.52",5
"17160",31,4,"17",5,"10209.16",5
"15719",32,4,"31",5,"10195.97",5
"14796",1,5,"27",5,"10169.33",5
"16327",14,5,"16",5,"10159.64",5
"18229",11,5,"28",5,"10150.51",5
"15805",23,4,"30",5,"10148.93",5
"18055",7,5,"14",5,"10142.64",5
"17809",16,5,"20",5,"10085.89",5
"15547",7,5,"26",5,"10057.05",5
"13941",21,4,"15",5,"10027.18",5
"13985",4,5,"22",5,"10020.86",5
"15694",0,5,"24",5,"9978.48",5
"14755",9,5,"25",5,"9972.55",5
"16182",72,3,"9",5,"9971.65",5
"14101",73,3,"13",5,"9961.93",5
"16131",51,4,"12",5,"9957.42",5
"18260",172,3,"23",5,"9947.26",5
"17049",2,5,"19",5,"9942.53",5
"16701",8,5,"26",5,"9916.73",5
"12758",116,3,"7",4,"9903.24",5
"14329",17,5,"15",5,"9887.62",5
"12590",211,2,"2",2,"9864.26",5
"14828",196,2,"13",5,"9839.46",5
"12490",5,5,"21",5,"9823.64",5
"13599",1,5,"33",5,"9811.04",5
"16353",3,5,"38",5,"9795.46",5
"14944",29,4,"19",5,"9784.67",5
"17306",10,5,"21",5,"9782.35",5
"13018",16,5,"35",5,"9763.16",5
"13735",24,4,"13",5,"9762.77",5
"14085",2,5,"33",5,"9720.67",5
"12380",21,4,"11",5,"9676.30",5
"12839",2,5,"26",5,"9669.12",5
"16782",10,5,"38",5,"9636.12",5
"17315",1,5,"43",5,"9599.58",5
"18109",1,5,"38",5,"9555.71",5
"14091",654,1,"2",2,"9530.08",5
"17811",4,5,"47",5,"9519.80",5
"13999",10,5,"29",5,"9502.26",5
"17504",206,2,"18",5,"9490.17",5
"14146",8,5,"12",5,"9450.30",5
"14439",319,2,"5",4,"9443.04",5
"13267",2,5,"36",5,"9429.81",5
"17230",264,2,"18",5,"9388.49",5
"15727",16,5,"15",5,"9371.71",5
"15981",24,4,"21",5,"9362.77",5
"13069",0,5,"38",5,"9284.45",5
"13162",122,3,"16",5,"9275.49",5
"15249",31,4,"18",5,"9266.00",5
"14367",8,5,"16",5,"9227.82",5
"14292",7,5,"16",5,"9226.25",5
"13327",38,4,"20",5,"9134.48",5
"17757",1,5,"56",5,"9074.05",5
"15298",2,5,"23",5,"9061.77",5
"15939",89,3,"16",5,"9060.39",5
"16709",84,3,"14",5,"9056.01",5
"17068",12,5,"47",5,"8987.68",5
"15150",17,5,"13",5,"8977.94",5
"15903",9,5,"12",5,"8939.84",5
"15867",5,5,"31",5,"8923.30",5
"12766",3,5,"9",5,"8918.99",5
"12747",2,5,"26",5,"8898.48",5
"14060",4,5,"30",5,"8898.24",5
"13555",73,3,"13",5,"8891.84",5
"14709",15,5,"25",5,"8886.33",5
"12359",57,4,"10",5,"8873.39",5
"14135",1,5,"24",5,"8839.67",5
"16700",8,5,"25",5,"8830.77",5
"16550",108,3,"18",5,"8813.58",5
"15260",100,3,"25",5,"8767.73",5
"16532",17,5,"5",4,"8756.64",5
"13448",16,5,"13",5,"8745.93",5
"15570",7,5,"25",5,"8736.49",5
"16186",22,4,"26",5,"8718.43",5
"17576",8,5,"41",5,"8711.95",5
"12957",9,5,"13",5,"8706.97",5
"13758",11,5,"15",5,"8698.13",5
"13263",1,5,"39",5,"8676.20",5
"15497",17,5,"9",5,"8657.39",5
"13756",2,5,"23",5,"8655.95",5
"16945",21,4,"33",5,"8548.16",5
"15281",58,4,"16",5,"8543.57",5
"13269",1,5,"28",5,"8537.32",5
"15270",15,5,"21",5,"8524.86",5
"12798",10,5,"4",3,"8510.93",5
"13209",30,4,"13",5,"8509.51",5
"15786",46,4,"5",4,"8501.62",5
"13148",29,4,"26",5,"8497.82",5
"14286",23,4,"7",4,"8479.76",5
"18139",17,5,"6",4,"8438.34",5
"13047",31,4,"24",5,"8428.53",5
"14160",610,1,"7",4,"8421.47",5
"17396",39,4,"14",5,"8409.60",5
"15984",2,5,"30",5,"8393.02",5
"14676",31,4,"12",5,"8356.79",5
"14057",23,4,"22",5,"8346.66",5
"17611",7,5,"28",5,"8337.53",5
"13206",400,2,"13",5,"8308.19",5
"12643",128,3,"12",5,"8304.82",5
"17686",7,5,"9",5,"8296.81",5
"12637",67,3,"12",5,"8283.81",5
"15998",36,4,"16",5,"8274.14",5
"15034",15,5,"14",5,"8231.20",5
"13381",31,4,"12",5,"8224.37",5
"13139",16,5,"8",4,"8202.98",5
"16722",17,5,"22",5,"8189.56",5
"17365",12,5,"15",5,"8184.49",5
"13426",0,5,"22",5,"8167.38",5
"13715",281,2,"17",5,"8153.04",5
"14056",1,5,"23",5,"8152.71",5
"16672",2,5,"20",5,"8134.94",5
"17593",3,5,"11",5,"8092.32",5
"15955",24,4,"22",5,"8085.98",5
"17426",8,5,"13",5,"8077.77",5
"16767",30,4,"15",5,"8056.76",5
"16670",16,5,"20",5,"8030.15",5
"14525",19,4,"17",5,"8026.54",5
"18041",11,5,"38",5,"8018.77",5
"16556",66,3,"17",5,"8012.58",5
"13869",123,3,"10",5,"7996.87",5
"13174",16,5,"12",5,"7995.36",5
"12428",25,4,"9",5,"7956.46",5
"16303",25,4,"7",4,"7928.27",5
"14291",1,5,"23",5,"7904.10",5
"13871",22,4,"17",5,"7885.85",5
"14159",19,5,"20",5,"7860.80",5
"15622",43,4,"17",5,"7852.61",5
"17085",123,3,"28",5,"7847.67",5
"12757",15,5,"13",5,"7834.65",5
"12867",26,4,"13",5,"7829.26",5
"16592",4,5,"28",5,"7807.91",5
"15544",9,5,"20",5,"7807.89",5
"14395",2,5,"20",5,"7801.93",5
"17409",184,3,"10",5,"7793.51",5
"12720",2,5,"30",5,"7787.28",5
"17730",3,5,"20",5,"7773.80",5
"17739",11,5,"18",5,"7730.59",5
"13534",2,5,"35",5,"7720.90",5
"17696",38,4,"27",5,"7679.59",5
"14175",59,3,"8",4,"7678.88",5
"13141",84,3,"17",5,"7656.08",5
"15046",9,5,"25",5,"7623.79",5
"14145",46,4,"7",4,"7600.05",5
"13373",60,3,"6",4,"7587.19",5
"13137",10,5,"16",5,"7586.94",5
"13709",3,5,"18",5,"7571.35",5
"14030",18,5,"20",5,"7521.80",5
"17091",2,5,"19",5,"7495.75",5
"15179",18,5,"13",5,"7491.92",5
"15581",120,3,"38",5,"7480.40",5
"13815",22,4,"8",5,"7475.74",5
"16570",15,5,"20",5,"7434.31",5
"16242",8,5,"14",5,"7404.65",5
"17602",2,5,"14",5,"7354.43",5
"13082",126,3,"21",5,"7335.75",5
"17238",2,5,"32",5,"7331.67",5
"16253",66,3,"7",4,"7272.20",5
"14282",3,5,"25",5,"7250.76",5
"14092",7,5,"24",5,"7229.45",5
"14243",8,5,"17",5,"7217.75",5
"16729",38,4,"21",5,"7205.33",5
"14800",47,4,"17",5,"7191.33",5
"14688",7,5,"28",5,"7190.42",5
"16745",86,3,"17",5,"7180.70",5
"14841",53,4,"14",5,"7163.00",5
"15950",31,4,"10",5,"7120.91",5
"15521",40,4,"16",5,"7098.24",5
"14113",3,5,"16",5,"7092.61",5
"13451",26,4,"11",5,"7090.06",5
"17231",12,5,"25",5,"7064.80",5
"17769",12,5,"17",5,"7053.38",5
"13183",7,5,"15",5,"7036.18",5
"17965",37,4,"29",5,"7006.65",5
"16938",8,5,"9",5,"6995.36",5
"17690",30,4,"20",5,"6963.80",5
"12841",4,5,"40",5,"6958.20",5
"13552",66,3,"22",5,"6948.92",5
"15674",73,3,"13",5,"6948.23",5
"16265",9,5,"12",5,"6935.17",5
"16187",31,4,"15",5,"6911.44",5
"15301",50,4,"17",5,"6909.67",5
"12749",3,5,"9",5,"6897.36",5
"16170",50,4,"20",5,"6869.00",5
"15129",50,4,"23",5,"6860.18",5
"18231",192,2,"28",5,"6854.17",5
"16401",1,5,"23",5,"6849.15",5
"12613",57,4,"10",5,"6817.37",5
"12830",37,4,"6",4,"6814.64",5
"16145",8,5,"19",5,"6805.44",5
"15413",691,1,"5",4,"6798.72",5
"12417",3,5,"20",5,"6797.41",5
"14401",4,5,"22",5,"6795.90",5
"13993",42,4,"19",5,"6775.71",5
"13983",29,4,"21",5,"6753.89",5
"12662",0,5,"20",5,"6726.54",5
"12712",28,4,"21",5,"6723.03",5
"15321",70,3,"12",5,"6709.73",5
"14844",63,3,"10",5,"6702.43",5
"17975",15,5,"24",5,"6696.33",5
"13734",508,1,"4",3,"6695.69",5
"16497",49,4,"23",5,"6695.28",5
"13384",30,4,"11",5,"6680.83",5
"17700",16,5,"14",5,"6679.97",5
"14461",148,3,"13",5,"6676.91",5
"16717",23,4,"14",5,"6663.68",5
"17001",0,5,"19",5,"6640.80",5
"13953",7,5,"12",5,"6640.68",5
"14562",3,5,"26",5,"6638.15",5
"13394",1,5,"19",5,"6621.70",5
"12626",23,4,"9",5,"6620.48",5
"13520",58,4,"11",5,"6606.00",5
"13831",16,5,"18",5,"6585.54",5
"12843",65,3,"30",5,"6583.36",5
"13015",53,4,"11",5,"6579.78",5
"13883",10,5,"15",5,"6560.02",5
"12836",59,3,"15",5,"6559.73",5
"15980",88,3,"7",4,"6543.68",5
"14855",119,3,"7",4,"6520.30",5
"14221",42,4,"17",5,"6517.49",5
"12823",74,3,"18",5,"6501.50",5
"13317",66,3,"19",5,"6486.09",5
"12779",37,4,"14",5,"6474.11",5
"14154",239,2,"8",4,"6460.70",5
"15750",2,5,"18",5,"6452.99",5
"16940",52,4,"8",5,"6427.66",5
"16655",17,5,"13",5,"6423.26",5
"12656",17,5,"8",4,"6407.83",5
"15514",12,5,"18",5,"6392.06",5
"18094",81,3,"13",5,"6391.52",5
"12406",22,4,"5",4,"6390.36",5
"14388",10,5,"16",5,"6388.20",5
"14766",8,5,"11",5,"6375.73",5
"12356",22,4,"6",4,"6371.73",5
"14702",1,5,"29",5,"6368.78",5
"14227",26,4,"15",5,"6368.71",5
"12484",32,4,"12",5,"6354.10",5
"13590",11,5,"18",5,"6336.04",5
"18245",7,5,"20",5,"6324.98",5
"13654",43,4,"11",5,"6308.00",5
"12913",4,5,"13",5,"6283.24",5
"15480",116,3,"5",4,"6279.00",5
"13136",56,4,"13",5,"6274.56",5
"13615",318,2,"8",4,"6272.53",5
"17873",80,3,"18",5,"6265.33",5
"14004",43,4,"11",5,"6258.45",5
"15369",492,1,"11",5,"6251.26",5
"12497",81,3,"3",3,"6248.50",5
"17799",22,4,"20",5,"6246.93",5
"18118",10,5,"29",5,"6221.02",5
"16735",78,3,"14",5,"6217.41",5
"12429",9,5,"8",4,"6204.41",5
"15673",88,3,"9",5,"6204.32",5
"13334",82,3,"5",4,"6201.80",5
"16103",7,5,"22",5,"6191.71",5
"16156",8,5,"20",5,"6188.18",5
"14534",2,5,"26",5,"6187.66",5
"15299",67,3,"10",5,"6156.53",5
"14390",10,5,"13",5,"6150.03",5
"17669",42,4,"10",5,"6142.35",5
"13266",11,5,"19",5,"6135.04",5
"14852",58,3,"18",5,"6132.43",5
"17419",11,5,"18",5,"6126.25",5
"13230",4,5,"30",5,"6120.01",5
"14180",10,5,"33",5,"6117.50",5
"13935",596,1,"3",3,"6116.92",5
"14560",7,5,"44",5,"6114.03",5
"18178",128,3,"11",5,"6103.74",5
"14530",25,4,"16",5,"6088.87",5
"18061",21,4,"28",5,"6083.81",5
"17509",57,4,"8",4,"6083.64",5
"16954",0,5,"20",5,"6081.88",5
"12664",8,5,"11",5,"6070.04",5
"17644",1,5,"20",5,"6028.60",5
"13658",9,5,"9",5,"6025.50",5
"17819",71,3,"12",5,"6021.05",5
"15372",137,3,"8",4,"6017.06",5
"15202",420,1,"3",3,"6001.49",5
"16456",99,3,"13",5,"6000.94",5
"12835",427,1,"41",5,"5996.83",5
"15755",10,5,"17",5,"5993.12",5
"14105",239,2,"5",4,"5988.83",5
"17457",126,3,"14",5,"5984.81",5
"14440",8,5,"13",5,"5982.03",5
"17625",18,5,"8",5,"5978.90",5
"14535",60,3,"9",5,"5973.23",5
"15785",32,4,"16",5,"5969.93",5
"14918",115,3,"9",5,"5955.81",5
"12500",23,4,"19",5,"5955.21",5
"14257",64,3,"9",5,"5954.45",5
"16710",19,4,"22",5,"5921.35",5
"15971",17,5,"18",5,"5902.83",5
"12455",73,3,"10",5,"5879.95",5
"18065",5,5,"29",5,"5866.63",5
"17146",105,3,"13",5,"5852.64",5
"14112",22,4,"13",5,"5834.59",5
"12910",23,4,"13",5,"5796.52",5
"18075",23,4,"20",5,"5783.29",5
"17672",50,4,"7",4,"5778.63",5
"14099",16,5,"20",5,"5750.91",5
"16316",64,3,"13",5,"5744.91",5
"12615",2,5,"8",4,"5740.98",5
"13771",64,3,"9",5,"5728.82",5
"13870",2,5,"15",5,"5712.08",5
"16607",17,5,"25",5,"5706.87",5
"17651",11,5,"16",5,"5703.52",5
"16279",21,4,"9",5,"5698.28",5
"16458",2,5,"30",5,"5690.89",5
"13157",49,4,"9",5,"5687.36",5
"12727",10,5,"10",5,"5679.53",5
"12633",58,3,"7",4,"5678.16",5
"13901",72,3,"15",5,"5676.34",5
"17491",1,5,"17",5,"5653.67",5
"16409",36,4,"12",5,"5652.74",5
"13722",131,3,"10",5,"5635.41",5
"16320",172,3,"6",4,"5628.99",5
"16003",29,4,"10",5,"5613.83",5
"18145",12,5,"11",5,"5609.74",5
"16200",4,5,"12",5,"5608.10",5
"17838",26,4,"13",5,"5604.64",5
"16011",8,5,"29",5,"5601.01",5
"15228",66,3,"6",4,"5580.27",5
"15854",4,5,"21",5,"5578.28",5
"17203",35,4,"10",5,"5564.09",5
"14210",105,3,"16",5,"5556.57",5
"15527",18,5,"23",5,"5554.89",5
"14907",3,5,"16",5,"5547.72",5
"14572",3,5,"11",5,"5526.88",5
"17069",28,4,"14",5,"5517.23",5
"14732",8,5,"19",5,"5517.07",5
"17092",50,4,"11",5,"5511.41",5
"17204",175,3,"9",5,"5504.69",5
"14189",2,5,"16",5,"5503.15",5
"13115",11,5,"10",5,"5494.70",5
"16609",15,5,"7",4,"5493.46",5
"13593",108,3,"14",5,"5493.29",5
"13769",2,5,"20",5,"5478.12",5
"16992",10,5,"13",5,"5476.50",5
"17512",28,4,"18",5,"5467.82",5
"12480",28,4,"7",4,"5464.85",5
"17685",16,5,"12",5,"5454.95",5
"18198",4,5,"17",5,"5425.56",5
"12378",129,3,"2",2,"5416.32",5
"14626",23,4,"11",5,"5410.92",5
"14249",410,1,"12",5,"5400.46",5
"17719",37,4,"15",5,"5396.04",5
"17612",53,4,"18",5,"5394.86",5
"13362",9,5,"7",4,"5394.07",5
"13014",10,5,"11",5,"5381.08",5
"14459",155,3,"2",2,"5375.74",5
"14442",204,2,"7",4,"5367.02",5
"17863",59,3,"12",5,"5360.48",5
"12362",3,5,"11",5,"5356.23",5
"15641",105,3,"12",5,"5345.55",5
"16008",23,4,"15",5,"5339.13",5
"15628",4,5,"17",5,"5333.08",5
"13842",58,4,"18",5,"5319.34",5
"17584",7,5,"6",4,"5309.42",5
"16546",290,2,"5",4,"5307.07",5
"16393",2,5,"23",5,"5297.77",5
"15394",9,5,"11",5,"5286.80",5
"15152",9,5,"14",5,"5263.83",5
"13931",95,3,"11",5,"5257.38",5
"13975",31,4,"12",5,"5256.40",5
"13107",44,4,"9",5,"5253.07",5
"14930",108,3,"6",4,"5236.73",5
"12755",280,2,"11",5,"5236.26",5
"15722",35,4,"11",5,"5234.00",5
"17061",73,3,"11",5,"5232.23",5
"12422",95,3,"17",5,"5231.80",5
"15606",61,3,"17",5,"5230.99",5
"13763",63,3,"3",3,"5217.44",5
"15812",107,3,"12",5,"5201.47",5
"14546",5,5,"11",5,"5184.84",5
"12510",142,3,"9",5,"5178.02",5
"17663",25,4,"17",5,"5175.83",5
"15796",1,5,"17",5,"5171.63",5
"12625",211,2,"4",4,"5164.88",5
"17157",7,5,"19",5,"5151.90",5
"16153",49,4,"11",5,"5133.49",5
"16308",37,4,"7",4,"5120.00",5
"12708",29,4,"18",5,"5117.66",5
"14713",9,5,"21",5,"5115.76",5
"15443",1,5,"14",5,"5114.23",5
"12483",17,5,"19",5,"5097.18",5
"12594",37,4,"15",5,"5090.11",5
"17861",3,5,"18",5,"5088.29",5
"14493",7,5,"10",5,"5087.86",5
"15367",57,4,"11",5,"5081.33",5
"12432",42,4,"5",4,"5059.32",5
"17469",16,5,"17",5,"5051.25",5
"13634",33,4,"16",5,"5033.77",5
"16931",5,5,"23",5,"5032.22",5
"12759",52,4,"8",4,"5020.74",5
"12444",21,4,"5",4,"5005.46",5
"17084",35,4,"3",3,"5001.21",5
"17346",3,5,"26",5,"4998.61",5
"15898",1,5,"25",5,"4996.45",5
"14209",10,5,"15",5,"4993.27",5
"14639",52,4,"9",5,"4978.96",5
"13198",10,5,"8",4,"4974.23",5
"12600",28,4,"21",5,"4967.42",5
"12562",8,5,"9",5,"4966.92",5
"17758",19,5,"12",5,"4964.03",5
"17802",82,3,"10",5,"4946.22",5
"12700",7,5,"4",3,"4939.99",5
"12347",2,5,"8",4,"4921.53",5
"14970",68,3,"12",5,"4919.35",5
"16919",156,3,"24",5,"4909.66",5
"17314",24,4,"17",5,"4904.43",5
"18144",7,5,"19",5,"4892.95",5
"15332",366,2,"6",4,"4892.68",5
"16986",29,4,"11",5,"4888.75",5
